mode,sample_fraction,run,gen,phenotype,phenotype_in_cache,hit,fitness_cached,fitness_full_train,fake_hit,fitness_diff
farthest_point,0.1,1,2,"not_(not_(greater_than_or_equal(x[7], x[7])))","less_than_or_equal(mul(mul(x[7],x[0]),mul(x[2],x[7])),x[0])",True,0.7017543859649122,0.7017543859649122,False,0.0
farthest_point,0.1,1,2,"less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[5],x[2])),x[2])",,False,,0.4210526315789473,False,0.0
farthest_point,0.1,1,2,"less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[5])),mul(mul(x[5],x[2]),mul(x[0],x[2])))","less_than_or_equal(pdiv(x[3],x[7]),sub(x[3],x[2]))",True,0.3201754385964912,0.3114035087719298,True,-0.0087719298245614
farthest_point,0.1,1,2,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[3],x[5]))))",,False,,0.2719298245614034,False,0.0
farthest_point,0.1,1,2,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[2],mul(x[5],x[7]))))","less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[2])))",True,0.2982456140350877,0.2982456140350877,False,0.0
farthest_point,0.1,1,2,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],x[2])))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],x[2])))",True,0.2894736842105263,0.2894736842105263,False,0.0
farthest_point,0.1,1,2,"not_(greater_than_or_equal(sub(x[2],x[7]), mul(99.92,mul(x[3],mul(x[5],x[7])))))",,False,,0.5701754385964912,False,0.0
farthest_point,0.1,1,2,"not_(greater_than_or_equal(mul(x[2],x[2]), x[7]))",,False,,0.6842105263157895,False,0.0
farthest_point,0.1,1,2,"less_than_or_equal(pdiv(x[3],x[7]),sub(x[3],x[7]))","less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[2])))",True,0.2982456140350877,0.2982456140350877,False,0.0
farthest_point,0.1,1,2,"and_(not_(greater_than_or_equal(x[0], x[0])),not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],x[7])))))","less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[2])))",True,0.2982456140350877,0.2982456140350877,False,0.0
farthest_point,0.1,1,2,not_(x[6]),,False,,0.4956140350877193,False,0.0
farthest_point,0.1,1,2,"less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[0])))","less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[2])))",True,0.2982456140350877,0.293859649122807,True,-0.0043859649122807
