mode,sample_fraction,fake_hit_threshold,gen,invalid_mean,avg_mean,std_mean,min_mean,max_mean,fitness_test_mean,best_ind_length_mean,avg_length_mean,best_ind_nodes_mean,avg_nodes_mean,best_ind_depth_mean,avg_depth_mean,avg_used_codons_mean,best_ind_used_codons_mean,selection_time_mean,generation_time_mean,invalid_std,avg_std,std_std,min_std,max_std,fitness_test_std,best_ind_length_std,avg_length_std,best_ind_nodes_std,avg_nodes_std,best_ind_depth_std,avg_depth_std,avg_used_codons_std,best_ind_used_codons_std,selection_time_std,generation_time_std
fec_simple_farthest_point,0.3,0.0,8,9.7,0.41821930568567456,0.12984808249649327,0.23780219780219775,0.6898901098901099,0.23780219780219775,31.0,36.27108130263285,6.1,4.470705044261047,7.2,6.513281052519465,12.578467128929884,16.8,0.00012421607971188,0.00960223674774165,3.1320919526731648,0.037113993924643665,0.03777639410290244,0.10739496965550055,0.09355747348720218,0.10739496965550055,12.336936410632909,5.9378176864228305,2.3,1.2104828208322826,1.4,0.556280953301738,3.092007434056658,6.352952069707436,8.971003980771412e-06,0.004751199952916878
fec_simple_farthest_point,0.3,0.0,9,8.8,0.4218986482838373,0.13127802988602297,0.2138461538461538,0.7043956043956043,0.2138461538461538,33.5,37.07974083808325,6.1,4.578220983618064,7.7,6.544186994763443,12.848309359698524,16.9,0.00042724609374995,0.00990641117095942,3.1874754901018454,0.036223154578549493,0.047232323650895844,0.09817093102884461,0.10498618375929537,0.09817093102884461,12.451907484397722,5.9029102824617485,2.1656407827707715,1.4012416717703262,1.4866068747318504,0.734938302685022,3.692171261728435,6.040695324215582,0.000914032107485941,0.0040674580095650765
fec_simple_farthest_point,0.3,0.0,10,10.9,0.4141472181212579,0.13532403778924082,0.20175824175824175,0.7208791208791209,0.20175824175824175,32.6,37.310176908108936,6.0,4.6237040002440795,7.7,6.567876736422629,12.867376873943858,17.2,0.00012114048004146999,0.010035133361816351,6.057227088363124,0.03891090870380792,0.03595747186892168,0.10366919045983602,0.1090650344580498,0.10366919045983602,11.876026271442818,6.1925839205913915,2.097617696340303,1.3194065922889262,1.3453624047073711,0.6591637595537931,3.5446337769841936,6.11228271597445,6.16158672931873e-06,0.005108273968047668
fec_simple_stratified,0.1,0.0,0,0.0,0.5294153846153846,0.1262437334375238,0.3701098901098901,0.7158241758241759,,4.8,23.048000000000002,1.1,4.938000000000001,4.3,5.792,15.51,3.5,0.0,0.00800778865814203,0.0,0.019764260228232154,0.01195336809898693,0.009539575566686009,0.10855919315316159,,2.4,0.901607453385341,0.3,0.22350838910430149,0.9,0.07652450587883587,0.6060528029800702,1.5,0.0,0.0034112124075099362
fec_simple_stratified,0.1,0.0,1,19.9,0.45579585939858036,0.1164544189649411,0.3701098901098901,0.6296703296703297,0.3701098901098901,4.8,25.371252721447384,1.1,4.021593983818677,4.3,5.796763307758858,12.561224152191894,3.5,0.00012173652648921,0.00870132446289058,2.4269322199023193,0.023303551224495882,0.014334021324431376,0.009539575566686009,0.009542106965315308,0.009539575566686009,2.4,2.1078281698914547,0.3,0.5717881928952002,0.9,0.30516134151339563,1.6321182117778674,1.5,6.516464350072065e-06,0.0035399984694488356
fec_simple_stratified,0.1,0.0,2,16.5,0.4145917158883446,0.09567792345901058,0.35956043956043954,0.6512087912087912,0.35956043956043954,12.5,25.836427002157052,1.7,3.5365611182589114,4.6,5.819873452156983,11.012872384158463,4.8,0.00010282993316645828,0.0075083732604979804,5.162363799656123,0.018498858295650594,0.014574736051281057,0.029653230726194177,0.058686257354840406,0.029653230726194177,22.95756955777331,5.604030570921344,1.7916472867168918,1.1675271942190866,1.2,0.6259044681426181,3.400169888172667,4.019950248448356,3.3140182495060945e-06,0.0025443923307811047
fec_simple_stratified,0.1,0.0,3,12.7,0.4065675243894339,0.08678875748232459,0.3345054945054945,0.6298901098901099,0.3345054945054945,15.6,26.101785079174896,2.5,3.185121690069162,5.1,5.708688552109665,9.80064268475646,6.8,0.00012247562408441,0.00812866687774654,4.712748667179271,0.02421930623793687,0.021561394054432623,0.07485960776206717,0.009539575566685993,0.07485960776206717,23.682060721145024,7.597903932989817,2.80178514522438,1.2298430831354468,1.7578395831246947,0.6627049998163062,3.3203065327385985,6.705221845696084,7.60854166065147e-06,0.004083016640039496
fec_simple_stratified,0.1,0.0,4,9.9,0.4070751719476179,0.08876322864276534,0.3136263736263736,0.6298901098901099,0.3136263736263736,17.4,26.810525576044085,3.0,2.902610844861183,5.7,5.672908859099939,8.800446818894116,8.4,0.00011856555938715999,0.007377552986144969,3.9102429592034307,0.026759277465131844,0.020078240764522137,0.08728374349094191,0.009539575566685993,0.08728374349094191,23.414525406251563,8.357045012894217,2.932575659723036,1.5471611182180962,2.238302928559939,0.9680647778133739,4.256056024996038,7.472616676907761,9.554042622947334e-06,0.003136446222850678
fec_simple_stratified,0.1,0.0,5,9.0,0.40106903701574337,0.08913131719403997,0.29978021978021974,0.6298901098901099,0.29978021978021974,12.8,28.425360297343207,3.7,2.8005850833671495,5.9,5.576827896962672,8.424840381421555,10.0,0.00012416839599606,0.0075191497802733695,4.449719092257398,0.018499809136519413,0.02049478767915416,0.10208406763600732,0.009539575566685993,0.10208406763600732,12.391932859727735,9.778788881644504,4.313930922024598,1.5906732135369972,2.4269322199023193,1.037850387086434,4.28689180894447,10.158740079360236,1.3131994913318943e-05,0.0031324510454908373
fec_simple_stratified,0.1,0.0,6,8.5,0.4080422190206733,0.10191772125226617,0.29670329670329665,0.6569230769230769,0.29670329670329665,15.2,28.031638371074216,3.2,2.800883834183682,5.6,5.571326322281408,8.202929659419869,8.5,0.00012462139129634,0.007780504226684521,2.3345235059857505,0.020651112392388468,0.03058558469972596,0.1074048642030992,0.05878001331218014,0.1074048642030992,16.880758276807356,10.326259030890611,3.370459909270543,1.735577648959183,2.1071307505705477,1.088095679750578,4.446931035869129,7.57957782465488,9.551662457697456e-06,0.0037805452250306965
fec_simple_stratified,0.1,0.0,7,8.0,0.3948808641066587,0.09824383842482749,0.27318681318681315,0.6406593406593407,0.27318681318681315,15.6,28.604154262608898,3.0,2.748274500086146,5.7,5.4831091331850015,7.961346144459331,8.4,0.00012431144714350999,0.00690712928771966,4.711687595755898,0.013432202669645933,0.033542356637333876,0.11458983205306869,0.030992128282147254,0.11458983205306869,15.647363995254919,12.25924661929673,2.7202941017470885,1.774341037844597,2.193171219946131,1.0926538987929824,4.351554969463289,6.931089380465383,1.054457211216172e-05,0.002245004045772791
